"Kod";"Nazwa";"uczelnie ogółem;studenci;ogółem;2018;[osoba]";"uniwersytety;studenci;ogółem;2018;[osoba]";"uczelnie techniczne;studenci;ogółem;2018;[osoba]";"uczelnie rolnicze;studenci;ogółem;2018;[osoba]";"uczelnie ekonomiczne;studenci;ogółem;2018;[osoba]";"uczelnie pedagogiczne;studenci;ogółem;2018;[osoba]";"uczelnie morskie;studenci;ogółem;2018;[osoba]";"uniwersytety medyczne;studenci;ogółem;2018;[osoba]";"akademie wychowania fizycznego;studenci;ogółem;2018;[osoba]";"uczelnie artystyczne;studenci;ogółem;2018;[osoba]";"uczelnie teologiczne;studenci;ogółem;2018;[osoba]";"pozostałe uczelnie (w tym państwowe wyższe szkoły zawodowe);studenci;ogółem;2018;[osoba]";"uczelnie resortu obrony narodowej oraz spraw wewnętrznych i administracji;studenci;ogółem;2018;[osoba]";
0000000;"POLSKA";1228667;363280;235134;56747;172353;39902;7387;65423;19383;16813;5048;224903;22294;
0200000;"DOLNOŚLĄSKIE";120315;24658;26442;8540;13594;3040;0;6346;3530;1985;552;29575;2053;
0400000;"KUJAWSKO-POMORSKIE";56539;28997;110;6824;3440;0;0;0;0;591;0;16577;0;
0600000;"LUBELSKIE";69854;28981;8032;7574;275;144;0;7059;1357;0;0;14771;1661;
0800000;"LUBUSKIE";13260;10229;0;0;101;0;0;0;664;0;0;2266;0;
1000000;"ŁÓDZKIE";70764;26964;16128;0;12680;0;0;9176;0;2537;0;3279;0;
1200000;"MAŁOPOLSKIE";150137;36902;36775;8341;20598;14826;0;0;3347;1974;2023;25351;0;
1400000;"MAZOWIECKIE";246781;52436;41186;16443;46576;11677;0;9773;2910;3795;2473;45613;13899;
1600000;"OPOLSKIE";21292;7726;5962;0;1609;0;0;0;0;0;0;5995;0;
1800000;"PODKARPACKIE";46912;16642;12883;0;360;0;0;0;0;0;0;17027;0;
2000000;"PODLASKIE";29761;9028;7636;1041;1354;578;0;5255;0;88;0;4781;0;
2200000;"POMORSKIE";83514;23085;15782;0;14854;3122;4359;5678;2260;1463;0;10479;2432;
2400000;"ŚLĄSKIE";114728;22774;30319;0;28576;5013;0;10451;3058;1488;0;13049;0;
2600000;"ŚWIĘTOKRZYSKIE";22685;9966;5926;0;3174;585;0;0;0;0;0;3034;0;
2800000;"WARMIŃSKO-MAZURSKIE";27180;18793;0;0;1497;910;0;0;0;0;0;3731;2249;
3000000;"WIELKOPOLSKIE";115524;34534;15942;7984;19621;0;0;7320;2257;2172;0;25694;0;
3200000;"ZACHODNIOPOMORSKIE";39421;11565;12011;0;4044;7;3028;4365;0;720;0;3681;0;
