"Kod";"Nazwa";"powierzchnia istniejących - stan w dniu 31 grudnia;2021;[m2]";"istniejące - stan w dniu 31 grudnia;2021;[szt.]";"zlikwidowane - w ciągu roku;2021;[szt.]";"odpady komunalne zebrane podczas likwidacji dzikich wysypisk - w ciągu roku;2021;[t]";"dzikie wysypiska na 100 km2 powierzchni ogółem;2021;[szt.]";"powierzchnia dzikich wysypisk na 100 km2 powierzchni ogółem;2021;[m2]";
0000000;"POLSKA";2078934;2246;10542;73249,2;0,7;665;
0200000;"DOLNOŚLĄSKIE";440405;252;684;2234,4;1,3;2208;
0400000;"KUJAWSKO-POMORSKIE";148413;86;776;3245,3;0,5;826;
0600000;"LUBELSKIE";61395;32;294;765,9;0,1;244;
0800000;"LUBUSKIE";68741;62;293;6399,0;0,4;491;
1000000;"ŁÓDZKIE";109643;256;252;1932,5;1,4;602;
1200000;"MAŁOPOLSKIE";6584;93;1580;1939,0;0,6;43;
1400000;"MAZOWIECKIE";58956;139;1601;3327,5;0,4;166;
1600000;"OPOLSKIE";84355;149;174;545,1;1,6;896;
1800000;"PODKARPACKIE";24517;79;276;332,3;0,4;137;
2000000;"PODLASKIE";203101;129;12;196,6;0,6;1006;
2200000;"POMORSKIE";60025;221;1104;1530,6;1,2;328;
2400000;"ŚLĄSKIE";567041;554;1949;40601,2;4,5;4598;
2600000;"ŚWIĘTOKRZYSKIE";74382;47;258;1290,9;0,4;635;
2800000;"WARMIŃSKO-MAZURSKIE";11968;20;52;399,4;0,1;50;
3000000;"WIELKOPOLSKIE";26934;55;656;5314,0;0,2;90;
3200000;"ZACHODNIOPOMORSKIE";132474;72;581;3195,5;0,3;578;
